ID	Site	Basin	TotalLength_mm	ForkLength_mm	Weight_kg	log_TotalLength_mm	log_ForkLength_mm	log_Mass_kg	Tag_ID	Sex	Condition_factor	Methionine_Average	Methionine_Sulfoxide	Tryptophan	Lysine_Average	trans_Hydroxyproline	total_Dimethylarginine	dimethyl_sulfone	Kynurenine	alpha_aminoadipic_acid
Wall 001 B1	Red River	NA	602	572	2.25	2.7795964912578244	2.7573960287930244	0.3521825181113625	14962	M	1.20224902	62.4	0.7889999999999999	18.6	176.875	2.32	1.8	3	0.302	4.38
Wall 002 B2	Red River	NA	643	610	3	2.808210972924222	2.785329835010767	0.47712125471966244	14969	F	1.3216965299999999	69.0125	1.44	21.6	178.125	0.7859999999999999	1.34	3	0.203	3.8299999999999996
Wall 003 B1	Red River	NA	630	602	2.18	2.7993405494535817	2.7795964912578244	0.33845649360460484	20039	F	0.9992335789999999	67.45	1.04	15.3	112.27499999999999	6.359999999999999	0.901	1.9	0	2.3099999999999996
Wall 005 B1	Red River	NA	675	644	3.3	2.829303772831025	2.808885867359812	0.5185139398778874	20045	F	1.2355386569999995	77.17499999999998	1.28	15.3	136.625	0.765	0.978	4	0	2.32
Wall 006 B1	Red River	NA	651	630	3.55	2.813580988568192	2.7993405494535817	0.5502283530550941	20040	F	1.4197330899999996	73.41250000000001	1.07	15.3	192.6875	11	2.4099999999999997	3.3	0	2.68
Wall 007 B1	Red River	NA	556	519	1.45	2.7450747915820575	2.7151673578484576	0.16136800223497488	14966	M	1.0372081690000001	57.22500000000001	2.8	20.8	130.925	1.3800000000000001	1.21	10.9	0.192	1.8900000000000001
Wall 008 B1	Red River	NA	603	573	2.7	2.780317312140151	2.75815462196739	0.43136376415898736	14979	F	1.4351586019999998	102.3875	1.6600000000000001	14.4	178.125	1.11	1.52	3.1	0.0445	3.4099999999999997
Wall 010 B2	Red River	NA	673	640	3.3	2.828015064223977	2.806179973983887	0.5185139398778874	14976	F	1.258850098	60.6875	1	10.5	113.1875	0.93	0.9590000000000001	3	0.14200000000000002	5.109999999999999
Wall 011 B2	Red River	NA	736	699	4.1	2.866877814337499	2.8444771757456815	0.6127838567197355	14964	F	1.200472814	72.5625	1.51	20.6	255.8125	2.04	1.57	4.4	0.311	18.5
Wall 012 B1	Red River	NA	630	594	2.6	2.7993405494535817	2.7737864449811935	0.414973347970818	14967	F	1.2405492569999996	101.58571429999999	2.21	24.3	244.1428571	1.4	1.84	4	0.31	8.12
Wall 014 B2	Red River	NA	655	624	3.1	2.816241299991783	2.795184589682424	0.4913616938342727	6611	F	1.2758744039999999	74.975	1.7	18.3	195.5625	1.28	1.51	2.3	0.07350000000000001	3.32
Wall 016 B1	Red River	NA	646	610	2.9	2.8102325179950842	2.785329835010767	0.4623979978989561	6609	F	1.277639979	60.9375	1.47	17.5	183.4375	0.47500000000000003	1.77	7.9	0.192	6.3
Wall 017 B2	Red River	NA	705	676	4	2.848189116991399	2.829946695941636	0.6020599913279624	6615	F	1.294851319	52.25	1.05	19.6	178.5	1.92	0.762	4.4	0	3.72
Wall 018 B2	Red River	NA	705	673	4.1499999999999995	2.848189116991399	2.828015064223977	0.6180480967120926	6613	F	1.361453786	75.7625	1.07	26.9	182.0625	1.1300000000000001	1.76	3.8	0.0568	4.34
Wall 019 B2	Red River	NA	715	681	4.35	2.8543060418010806	2.833147111912785	0.6384892569546373	6621	F	1.3773614419999998	56.5875	0.649	18.1	165	2.02	1.42	2.5	0.055	2.07
Wall 020 B1	Red River	NA	657	623	2.4499999999999997	2.8175653695597807	2.7944880466591697	0.3891660843645324	6619	F	1.013215779	69.36666667000001	1.1400000000000001	29	147.08333330000002	1.1800000000000002	1.96	1.2	0.43800000000000006	5.35
Wall 021 B1	Red River	NA	483	453	1	2.683947130751512	2.656098202012832	0	6617	F	1.0757352349999998	44.3375	0.806	16.9	97.1625	1.08	0.743	3.3	0	2.5
Wall 176 B1	Matheson	NA	614	582	2	2.788168371141168	2.7649229846498886	0.3010299956639812	14887	F	1.0145210009999999	42.875	2.03	15.3	161.375	0.8440000000000001	1.9	4.4	0	2.55
Wall 177 B1	Matheson	NA	652	616	3.05	2.81424759573192	2.7895807121644256	0.48429983934678583	19296	F	1.304841326	64.8625	1.1500000000000001	33.5	323.3125	46.2	1.1400000000000001	9.1	0.21100000000000002	4.99
